"Fleet.Number","Registration","Details","Product","Distance","Unit","Litres","MPG","Cost"
"1403","YG69JLX","  Van Medium","Diesel",6659,"Miles",998.58,30.32,1597.728
"1404","YG69JKK","  Van Medium","Diesel",4882,"Miles",770.25,28.81,1232.4
"1405","YG69JNN","  Van Medium","Diesel",5213,"Miles",799.72,29.63,1279.552
"1406","YG69JNV","  Van Medium","Diesel",3172,"Miles",632.77,22.79,1012.432
"1407","YG69JLU","  Van Medium","Diesel",11261,"Miles",1500.78,34.11,2401.248
"1408","YG69JKN","  Van Medium","Diesel",10072,"Miles",1426.87,32.09,2282.992
"1409","YG69JLO","  Van Medium","Diesel",4078,"Miles",576.6,32.15,922.56
"1410","YG69JKZ","  Van Medium","Diesel",9776,"Miles",1342.65,33.1,2148.24
"1411","YG69JMO","  Van Medium","Diesel",11659,"Miles",1653.06,32.06,2644.896
"1412","YG69JNJ","  Van Medium","Diesel",2902,"Miles",505.61,26.09,808.976
"1413","YG69JNL","  Van Medium","Diesel",2198,"Miles",447.28,22.34,715.648
"1414","YG69JKF","  Van Medium","Diesel",5158,"Miles",850.38,27.57,1360.608
"1415","YG69JKO","  Van Medium","Diesel",16128,"Miles",2145.53,34.17,3432.848
"1416","YG69JMV","Ford Transit 290 Custom Van Medium","Diesel",9121,"Miles",1295.17,32.02,2072.272
"1417","YG69JNU","  Van Medium","Diesel",9298,"Miles",1075.03,39.32,1720.048
"1418","YG69JKU","Ford Transit 290 Custom Van Medium","Diesel",5087,"Miles",739.67,31.27,1183.472
"1419","YG69JKV","Ford Transit 290 Custom Van Medium","Diesel",13745,"Miles",1840.42,33.95,2944.672
"1420","YG69JOA","Ford Transit 290 Custom Van Medium","Diesel",11190,"Miles",1555.52,32.7,2488.832
"1421","YG69JOH","Ford Transit 290 Custom Van Medium","Diesel",5152,"Miles",827.78,28.29,1324.448
"1422","YG69JKY","  Van Medium","Diesel",6011,"Miles",1141.65,23.94,1826.64
"1423","YG69JNF","Ford Transit 290 Custom Van Medium","Diesel",4826,"Miles",555.52,39.49,888.832
"1424","YG69JNX","Ford Transit 290 Custom Van Medium","Diesel",11656,"Miles",1667.6,31.78,2668.16
"1425","YG69JMX","Ford Transit 290 Custom Van Medium","Diesel",12544,"Miles",1817.43,31.38,2907.888
"1426","YG69JNO","  Van Medium","Diesel",8540,"Miles",1206.14,32.19,1929.824
"1427","YG69JKX","  Van Medium","Diesel",7102,"Miles",922.48,35,1475.968
"1428","YG69JLV","Ford Transit 290 Van Medium","Diesel",6416,"Miles",875.63,33.31,1401.008
"1429","YG69JKY","Ford Transit 290 Custom Van Medium","Diesel",10580,"Miles",1424.38,33.77,2279.008
"1430","YG69XKS","  Van Medium","Diesel",1491,"Miles",285.04,23.78,456.064
"1431","YL69OKG","  Van Medium","Diesel",16267,"Miles",2141.4,34.53,3426.24
"1432","YE20RVF","Ford Transit 280 Refridgerated Van Medium","Diesel",2669,"Miles",406.83,29.82,650.928
"1433","ME21AUA","  Van Medium","Diesel",4266,"Miles",643.08,30.16,1028.928
"1434","ME21AUH","  Van Medium","Diesel",7782,"Miles",1006.08,35.16,1609.728
"1435","ME21AUK","  Van Medium","Diesel",12757,"Miles",1660.58,34.92,2656.928
"1436","ME21AUJ","  Van Medium","Diesel",10852,"Miles",1731.69,28.49,2770.704
"1437","ME21AUN","  Van Medium","Diesel",7523,"Miles",1124.93,30.4,1799.888
"1438","MA71CCU","  ","Diesel",11269,"Miles",1449.69,35.34,2319.504
"1439","MA71BZG","  Van Medium","Diesel",11179,"Miles",1426.7,35.62,2282.72
"1440","MA71BZF","  Van Medium","Diesel",11954,"Miles",1688.6,32.18,2701.76
"1441","MA71BZC","  Van Medium","Diesel",23617,"Miles",3140.29,34.19,5024.464
"1442","MA71BZB","  Van Medium","Diesel",14867,"Miles",1963.6,34.42,3141.76
"1443","MA71BYX","  Van Medium","Diesel",19111,"Miles",2909.5,29.86,4655.2
"1444","MA71BYZ","  Van Medium","Diesel",1767,"Miles",377.42,21.28,603.872
"1445","MA71BZW","  Van Medium","Diesel",9361,"Miles",1216.73,34.98,1946.768
"1446","MA71CBF","  Van Medium","Diesel",7607,"Miles",1391.73,24.85,2226.768
"1447","MA71BYH","  Van Medium","Diesel",14175,"Miles",2064.32,31.22,3302.912
"1448","MA71CCV","  Van Medium","Diesel",6377,"Miles",1015.35,28.55,1624.56
"1449","MA71BZM","  Van Medium","Diesel",14212,"Miles",1656.82,39,2650.912
"1450","MA71BZH","  Van Medium","Diesel",14263,"Miles",2203.43,29.43,3525.488
"1451","MA71BZJ","  Van Medium","Diesel",3100,"Miles",655.96,21.48,1049.536
"1452","MA71BZL","  Van Medium","Diesel",1037,"Miles",255.28,18.47,408.448
"1453","MA71BZU","  Van Medium","Diesel",4640,"Miles",767.18,27.5,1227.488
"1454","MA71BZN","  Van Medium","Diesel",14232,"Miles",2218.94,29.16,3550.304
"1455","MA71BZX","  Van Medium","Diesel",12899,"Miles",2156.17,27.2,3449.872
"1456","MA71BZP","  Van Medium","Diesel",6386,"Miles",966.87,30.03,1546.992
"1457","MA71BZO","  Van Medium","Diesel",6851,"Miles",1159.88,26.85,1855.808
"1458","MA71BYW","  Van Medium","Diesel",17323,"Miles",2517.26,31.28,4027.616
"1459","MA71BZV","  Van Medium","Diesel",5308,"Miles",802.75,30.06,1284.4
"1460","MA71CCO","  Van Medium","Diesel",8122,"Miles",1344.75,27.46,2151.6
"1461","MA71PGZ","  Van Medium","Diesel",3743,"Miles",606.31,28.06,970.096
"1462","MA71PHF","  Van Medium","Diesel",16265,"Miles",2192.91,33.72,3508.656
"1463","MA71CFK","  Van Medium","Diesel",4228,"Miles",817.05,23.52,1307.28
"1464","MA71PGX","  Van Medium","Diesel",7648,"Miles",1085.2,32.04,1736.32
"1465","MA71OJF","  Van Medium","Diesel",3103,"Miles",556.49,25.35,890.384
"1466","MA71PHK","  Van Medium","Diesel",12225,"Miles",1808.45,30.73,2893.52
"1496","FV69ZTU","Ford Torneo Custom Zetec Hybrid ","Diesel",18590,"Miles",2276.1,37.13,3641.76
"1497","FV69ZZS","Ford Torneo Zetec Hybrid ","Diesel",17852,"Miles",2254.41,36,3607.056
"1498","FT69AVK","Ford Custom Zetec Hybrid ","Diesel",7471,"Miles",1210.4,28.06,1936.64
"1519","YA14WSF","Peugeot Expert L2H1 90 Van Van Medium","Diesel",7716,"Miles",1289.34,27.21,2062.944
"1520","YF15ZHP","Ford Transit Custom 290L1 Van Medium","Diesel",3556,"Miles",670.14,24.12,1072.224
"1521","YB15DMU","Ford Transit Custom 290L1 Van Medium","Diesel",12327,"Miles",1830.86,30.61,2929.376
"1522","YF15ZGC","Ford Transit Custom 290L1 Van Medium","Diesel",3936,"Miles",893.39,20.03,1429.424
